order_id,distance_km,prep_time_min,estimated_travel_time_min,hour_of_day,day_of_week,is_raining,courier_experience,actual_delivery_time_min,promised_eta_min,is_late
1,9.4,27,13.5,17,2,0,0,45.0,40.5,0
2,5.55,31,12.2,10,5,1,1,49.5,43.2,0
3,10.37,22,15.5,17,6,0,1,43.0,37.5,0
4,8.52,17,12.8,13,5,1,1,49.9,34.8,1
5,1.58,5,2.4,2,5,1,2,11.6,7.4,0
6,11.72,23,28.9,11,3,1,1,73.9,56.9,1
7,9.25,32,15.9,5,1,0,0,52.1,47.9,0
8,9.54,9,19.8,13,4,0,1,40.5,33.8,0
9,1.97,12,3.8,21,6,0,2,15.4,20.8,0
10,5.68,20,14.1,20,5,0,0,51.3,39.1,1
11,4.76,21,6.9,11,1,1,0,54.4,32.9,1
12,11.16,17,25.2,15,2,0,1,54.2,42.2,1
13,7.9,9,12.1,13,6,0,0,26.8,26.1,0
14,9.96,19,26.8,4,0,0,0,50.6,45.8,0
15,5.6,20,8.9,17,1,0,1,35.1,28.9,0
16,3.11,10,4.9,8,1,0,1,17.6,14.9,0
17,6.88,23,15.6,21,4,0,2,47.9,43.6,0
18,1.23,30,2.2,13,2,0,1,48.8,37.2,1
19,10.02,7,22.1,20,5,0,1,41.8,34.1,0
20,7.76,7,18.3,13,0,0,1,39.8,30.3,0
21,9.22,22,16.3,10,4,0,1,36.9,38.3,0
22,4.58,28,7.6,18,6,0,1,44.1,40.6,0
23,11.66,8,19.5,9,4,1,1,41.4,27.5,1
24,10.77,33,16.7,13,4,0,1,56.8,54.7,0
25,9.45,19,15.7,12,6,1,0,58.4,39.7,1
26,2.74,8,5.7,13,2,0,1,21.7,18.7,0
27,5.87,18,8.5,21,2,1,1,41.0,31.5,0
28,1.0,18,1.5,1,2,1,2,21.6,19.5,0
29,2.27,16,4.5,19,1,0,0,36.7,25.5,1
30,8.36,22,12.1,9,2,0,1,36.7,34.1,0
31,9.06,12,13.1,17,0,0,2,29.4,25.1,0
32,11.63,34,19.1,2,3,1,1,63.1,53.1,0
33,4.25,13,6.7,18,4,1,1,43.6,24.7,1
34,4.76,30,12.2,9,2,0,2,48.2,42.2,0
35,5.9,29,13.3,22,3,0,1,56.1,42.3,1
36,2.68,17,6.8,6,6,0,2,24.3,23.8,0
37,1.99,10,4.9,8,2,0,1,23.7,14.9,0
38,5.97,34,9.6,16,0,1,1,58.5,43.6,1
39,3.11,22,7.4,2,0,1,2,36.7,29.4,0
40,8.2,14,17.0,2,4,1,1,43.8,31.0,1
41,5.53,9,11.0,8,5,0,2,21.6,20.0,0
42,10.08,15,27.0,14,4,1,1,51.3,42.0,0
43,8.55,24,13.1,15,3,0,0,50.6,37.1,1
44,4.09,20,6.3,21,2,0,1,43.0,31.3,1
45,10.07,6,28.2,17,0,0,0,40.1,34.2,0
46,9.75,28,17.5,8,0,0,1,54.8,45.5,0
47,4.96,14,8.9,1,3,0,1,26.6,22.9,0
48,3.82,10,6.7,6,5,1,1,31.3,16.7,1
49,8.35,25,19.0,0,2,0,2,42.8,44.0,0
50,2.11,27,5.2,17,0,0,0,39.0,32.2,0
51,2.8,29,7.4,7,5,0,2,37.5,36.4,0
52,0.58,5,1.0,21,5,0,2,16.8,11.0,0
53,9.55,16,18.3,19,1,0,1,44.7,39.3,0
54,8.15,12,14.4,21,4,0,0,34.4,31.4,0
55,8.61,22,15.8,16,3,0,1,45.6,37.8,0
56,9.48,34,16.3,18,1,0,1,57.3,55.3,0
57,5.78,8,9.7,21,4,0,0,26.5,22.7,0
58,7.04,24,16.6,9,1,0,1,42.7,40.6,0
59,2.11,18,3.6,2,5,0,0,30.6,21.6,0
60,1.82,18,4.1,6,3,0,2,16.5,22.1,0
61,8.19,33,22.8,8,5,0,1,64.4,55.8,0
62,5.92,26,9.3,13,2,0,2,45.3,40.3,0
63,7.0,7,11.4,14,2,0,1,24.6,18.4,0
64,9.3,18,15.2,14,5,0,0,38.7,33.2,0
65,7.8,27,16.2,10,5,1,1,50.7,43.2,0
66,6.87,8,11.1,0,1,0,1,24.7,19.1,0
67,6.93,20,15.3,11,0,0,2,44.2,40.3,0
68,4.0,19,8.8,7,6,0,1,33.2,27.8,0
69,0.85,7,1.8,8,3,1,0,22.9,8.8,1
70,5.52,33,9.2,8,0,0,2,38.7,42.2,0
71,2.97,16,6.8,12,3,0,1,37.7,27.8,0
72,5.2,13,13.8,10,1,1,2,35.0,26.8,0
73,10.31,7,23.4,18,3,0,2,39.5,35.4,0
74,3.19,6,6.2,2,3,1,2,16.6,12.2,0
75,1.17,10,2.5,11,4,1,2,19.0,17.5,0
76,3.74,27,6.2,21,3,1,2,40.4,38.2,0
